#    L    TT             EE             TE          
   117   0.311784E+04   0.950149E+00  -0.331037E+02
   118   0.315052E+04   0.959222E+00  -0.336561E+02
   119   0.318320E+04   0.967911E+00  -0.341979E+02
   120   0.321600E+04   0.976070E+00  -0.347293E+02
   121   0.324879E+04   0.983995E+00  -0.352501E+02
   122   0.328163E+04   0.991390E+00  -0.357595E+02
   123   0.331452E+04   0.998331E+00  -0.362576E+02
   124   0.334747E+04   0.100489E+01  -0.367414E+02
   125   0.338039E+04   0.101100E+01  -0.372130E+02
   126   0.341336E+04   0.101673E+01  -0.376717E+02
   127   0.344631E+04   0.102193E+01  -0.381167E+02
   128   0.347922E+04   0.102675E+01  -0.385473E+02
   129   0.351219E+04   0.103105E+01  -0.389627E+02
   130   0.354512E+04   0.103483E+01  -0.393621E+02
   131   0.357802E+04   0.103823E+01  -0.397470E+02
   132   0.361097E+04   0.104111E+01  -0.401144E+02
   133   0.364381E+04   0.104354E+01  -0.404667E+02
   134   0.367663E+04   0.104552E+01  -0.407994E+02
   135   0.370942E+04   0.104699E+01  -0.411156E+02
   136   0.374203E+04   0.104794E+01  -0.414115E+02
   137   0.377463E+04   0.104846E+01  -0.416896E+02
   138   0.380712E+04   0.104845E+01  -0.419482E+02
   139   0.383937E+04   0.104809E+01  -0.421868E+02
   140   0.387168E+04   0.104714E+01  -0.424061E+02
   141   0.390374E+04   0.104569E+01  -0.426039E+02
   142   0.393579E+04   0.104380E+01  -0.427811E+02
   143   0.396775E+04   0.104148E+01  -0.429377E+02
   144   0.399947E+04   0.103865E+01  -0.430729E+02
   145   0.403103E+04   0.103548E+01  -0.431862E+02
   146   0.406265E+04   0.103172E+01  -0.432774E+02
   147   0.409388E+04   0.102762E+01  -0.433453E+02
   148   0.412496E+04   0.102302E+01  -0.433914E+02
   149   0.415596E+04   0.101800E+01  -0.434141E+02
   150   0.418665E+04   0.101263E+01  -0.434114E+02
   151   0.421719E+04   0.100684E+01  -0.433862E+02
   152   0.424742E+04   0.100056E+01  -0.433371E+02
   153   0.427750E+04   0.993941E+00  -0.432619E+02
   154   0.430735E+04   0.986982E+00  -0.431628E+02
   155   0.433696E+04   0.979685E+00  -0.430391E+02
   156   0.436619E+04   0.972051E+00  -0.428908E+02
   157   0.439533E+04   0.964083E+00  -0.427164E+02
   158   0.442416E+04   0.955856E+00  -0.425168E+02
   159   0.445268E+04   0.947223E+00  -0.422919E+02
   160   0.448097E+04   0.938335E+00  -0.420402E+02
   161   0.450901E+04   0.929267E+00  -0.417634E+02
   162   0.453674E+04   0.919872E+00  -0.414613E+02
   163   0.456430E+04   0.910227E+00  -0.411325E+02
   164   0.459139E+04   0.900407E+00  -0.407786E+02
   165   0.461832E+04   0.890340E+00  -0.403973E+02
   166   0.464492E+04   0.880175E+00  -0.399901E+02
   167   0.467128E+04   0.869692E+00  -0.395578E+02
   168   0.469717E+04   0.859263E+00  -0.390981E+02
   169   0.472273E+04   0.848594E+00  -0.386112E+02
   170   0.474798E+04   0.837908E+00  -0.380985E+02
   171   0.477275E+04   0.827207E+00  -0.375577E+02
   172   0.479711E+04   0.816419E+00  -0.369905E+02
   173   0.482101E+04   0.805545E+00  -0.363968E+02
   174   0.484457E+04   0.794883E+00  -0.357766E+02
   175   0.486773E+04   0.784139E+00  -0.351292E+02
   176   0.489034E+04   0.773537E+00  -0.344547E+02
   177   0.491254E+04   0.763004E+00  -0.337545E+02
   178   0.493427E+04   0.752764E+00  -0.330273E+02
   179   0.495552E+04   0.742523E+00  -0.322730E+02
   180   0.497645E+04   0.732503E+00  -0.314933E+02
   181   0.499683E+04   0.722708E+00  -0.306882E+02
   182   0.501673E+04   0.713213E+00  -0.298563E+02
   183   0.503609E+04   0.703944E+00  -0.289990E+02
   184   0.505506E+04   0.694979E+00  -0.281158E+02
   185   0.507355E+04   0.686467E+00  -0.272089E+02
   186   0.509121E+04   0.678268E+00  -0.262753E+02
   187   0.510870E+04   0.670526E+00  -0.253166E+02
   188   0.512564E+04   0.663227E+00  -0.243345E+02
   189   0.514198E+04   0.656409E+00  -0.233273E+02
   190   0.515814E+04   0.650127E+00  -0.222974E+02
   191   0.517340E+04   0.644404E+00  -0.212420E+02
   192   0.518828E+04   0.639264E+00  -0.201632E+02
   193   0.520254E+04   0.634753E+00  -0.190626E+02
   194   0.521642E+04   0.630903E+00  -0.179381E+02
   195   0.522969E+04   0.627752E+00  -0.167919E+02
   196   0.524236E+04   0.625338E+00  -0.156233E+02
   197   0.525457E+04   0.623709E+00  -0.144340E+02
   198   0.526625E+04   0.622888E+00  -0.132231E+02
   199   0.527740E+04   0.622913E+00  -0.119914E+02
   200   0.528803E+04   0.623816E+00  -0.107399E+02
   201   0.529806E+04   0.625657E+00  -0.946776E+01
   202   0.530756E+04   0.628443E+00  -0.817653E+01
   203   0.531647E+04   0.632229E+00  -0.686548E+01
   204   0.532470E+04   0.637037E+00  -0.553761E+01
   205   0.533241E+04   0.642909E+00  -0.419072E+01
   206   0.533945E+04   0.649878E+00  -0.282609E+01
   207   0.534597E+04   0.657966E+00  -0.144420E+01
   208   0.535174E+04   0.667223E+00  -0.455933E-01
   209   0.535692E+04   0.677667E+00   0.136934E+01
   210   0.536151E+04   0.689349E+00   0.279969E+01
   211   0.536550E+04   0.702296E+00   0.424535E+01
   212   0.536875E+04   0.716536E+00   0.570539E+01
   213   0.537149E+04   0.732110E+00   0.717981E+01
   214   0.537355E+04   0.749010E+00   0.866738E+01
   215   0.537503E+04   0.767426E+00   0.101673E+02
   216   0.537585E+04   0.787170E+00   0.116802E+02
   217   0.537615E+04   0.808396E+00   0.132039E+02
   218   0.537578E+04   0.831101E+00   0.147387E+02
   219   0.537483E+04   0.855283E+00   0.162854E+02
   220   0.537330E+04   0.881089E+00   0.178397E+02
   221   0.537117E+04   0.908442E+00   0.194037E+02
   222   0.536846E+04   0.937488E+00   0.209759E+02
   223   0.536502E+04   0.968151E+00   0.225570E+02
   224   0.536114E+04   0.100043E+01   0.241433E+02
   225   0.535661E+04   0.103447E+01   0.257378E+02
   226   0.535149E+04   0.107026E+01   0.273366E+02
   227   0.534571E+04   0.110781E+01   0.289413E+02
   228   0.533943E+04   0.114712E+01   0.305504E+02
   229   0.533256E+04   0.118825E+01   0.321622E+02
   230   0.532504E+04   0.123121E+01   0.337777E+02
   231   0.531687E+04   0.127606E+01   0.353959E+02
   232   0.530819E+04   0.132273E+01   0.370154E+02
   233   0.529894E+04   0.137143E+01   0.386347E+02
   234   0.528896E+04   0.142203E+01   0.402545E+02
   235   0.527847E+04   0.147459E+01   0.418732E+02
   236   0.526734E+04   0.152911E+01   0.434909E+02
   237   0.525563E+04   0.158565E+01   0.451061E+02
   238   0.524334E+04   0.164430E+01   0.467186E+02
   239   0.523056E+04   0.170490E+01   0.483278E+02
   240   0.521705E+04   0.176753E+01   0.499314E+02
   241   0.520312E+04   0.183232E+01   0.515302E+02
   242   0.518862E+04   0.189913E+01   0.531232E+02
   243   0.517355E+04   0.196811E+01   0.547092E+02
   244   0.515790E+04   0.203918E+01   0.562886E+02
   245   0.514168E+04   0.211240E+01   0.578587E+02
   246   0.512497E+04   0.218779E+01   0.594207E+02
   247   0.510777E+04   0.226526E+01   0.609726E+02
   248   0.509000E+04   0.234518E+01   0.625141E+02
   249   0.507180E+04   0.242702E+01   0.640447E+02
   250   0.505305E+04   0.251124E+01   0.655627E+02
   251   0.503387E+04   0.259753E+01   0.670689E+02
   252   0.501405E+04   0.268611E+01   0.685619E+02
   253   0.499397E+04   0.277675E+01   0.700402E+02
   254   0.497332E+04   0.286975E+01   0.715039E+02
   255   0.495218E+04   0.296479E+01   0.729530E+02
   256   0.493063E+04   0.306225E+01   0.743875E+02
   257   0.490866E+04   0.316167E+01   0.757994E+02
   258   0.488621E+04   0.326342E+01   0.772013E+02
   259   0.486334E+04   0.336735E+01   0.785785E+02
   260   0.484013E+04   0.347344E+01   0.799457E+02
   261   0.481644E+04   0.358163E+01   0.812809E+02
   262   0.479226E+04   0.369212E+01   0.826063E+02
   263   0.476797E+04   0.380468E+01   0.839145E+02
   264   0.474312E+04   0.391939E+01   0.851983E+02
   265   0.471778E+04   0.403617E+01   0.864501E+02
   266   0.469218E+04   0.415523E+01   0.876923E+02
   267   0.466610E+04   0.427620E+01   0.889027E+02
