#    L    TT             EE             TE          
   117   0.305862E+04   0.932800E+00  -0.320819E+02
   118   0.309066E+04   0.942411E+00  -0.326420E+02
   119   0.312270E+04   0.951667E+00  -0.331929E+02
   120   0.315489E+04   0.960421E+00  -0.337346E+02
   121   0.318706E+04   0.968970E+00  -0.342670E+02
   122   0.321931E+04   0.977017E+00  -0.347895E+02
   123   0.325163E+04   0.984636E+00  -0.353019E+02
   124   0.328401E+04   0.991903E+00  -0.358014E+02
   125   0.331638E+04   0.998742E+00  -0.362902E+02
   126   0.334882E+04   0.100523E+01  -0.367674E+02
   127   0.338126E+04   0.101122E+01  -0.372324E+02
   128   0.341368E+04   0.101685E+01  -0.376844E+02
   129   0.344616E+04   0.102198E+01  -0.381227E+02
   130   0.347864E+04   0.102662E+01  -0.385465E+02
   131   0.351110E+04   0.103090E+01  -0.389574E+02
   132   0.354363E+04   0.103469E+01  -0.393523E+02
   133   0.357607E+04   0.103805E+01  -0.397335E+02
   134   0.360851E+04   0.104098E+01  -0.400967E+02
   135   0.364094E+04   0.104341E+01  -0.404448E+02
   136   0.367322E+04   0.104535E+01  -0.407742E+02
   137   0.370549E+04   0.104685E+01  -0.410872E+02
   138   0.373769E+04   0.104786E+01  -0.413822E+02
   139   0.376967E+04   0.104852E+01  -0.416587E+02
   140   0.380172E+04   0.104861E+01  -0.419174E+02
   141   0.383355E+04   0.104819E+01  -0.421561E+02
   142   0.386539E+04   0.104735E+01  -0.423756E+02
   143   0.389715E+04   0.104608E+01  -0.425759E+02
   144   0.392871E+04   0.104432E+01  -0.427564E+02
   145   0.396012E+04   0.104220E+01  -0.429163E+02
   146   0.399161E+04   0.103951E+01  -0.430557E+02
   147   0.402275E+04   0.103647E+01  -0.431731E+02
   148   0.405375E+04   0.103292E+01  -0.432702E+02
   149   0.408469E+04   0.102896E+01  -0.433453E+02
   150   0.411535E+04   0.102464E+01  -0.433965E+02
   151   0.414588E+04   0.101989E+01  -0.434265E+02
   152   0.417613E+04   0.101465E+01  -0.434341E+02
   153   0.420624E+04   0.100905E+01  -0.434169E+02
   154   0.423615E+04   0.100310E+01  -0.433771E+02
   155   0.426585E+04   0.996792E+00  -0.433141E+02
   156   0.429519E+04   0.990130E+00  -0.432278E+02
   157   0.432447E+04   0.983110E+00  -0.431166E+02
   158   0.435347E+04   0.975806E+00  -0.429815E+02
